P102: 0  (0,2.2389),(173.4000,64.7745,-22.3811),(-0.3413,0.6302,0.6983)
P103: 0  (0,2.2441),(175.4000,65.7906,-22.3211),(-0.3411,0.6200,0.7098)
P104: 0  (0,2.2438),(177.4000,66.8053,-22.2511),(-0.3411,0.6219,0.7080)
P105: 0  (0,2.2345),(179.4000,67.7977,-22.1611),(-0.3427,0.6102,0.7199)
P106: 0  (0,2.2460),(181.4000,68.8148,-22.0611),(-0.3429,0.6000,0.7179)
P107: 0  (0,2.2444),(183.4000,69.8273,-21.9511),(-0.3403,0.6018,0.7299)
P108: 0  (0,2.2422),(185.4000,70.8327,-21.8211),(-0.3404,0.5902,0.7280)
P109: 0  (0,2.2419),(187.4000,71.8360,-21.6811),(-0.3513,0.5799,0.7389)
P110: 0  (0,2.2442),(189.4000,72.8415,-21.5211),(-0.3520,0.5818,0.7408)
P111: 0  (0,2.2510),(191.4000,73.8603,-21.3511),(-0.3501,0.5701,0.7388)
P112: 0  (0,2.2399),(193.4000,74.8507,-21.1611),(-0.3501,0.5600,0.7500)
P113: 0  (0,1.3367),(193.4000,73.7798,-20.3611),(-0.3505,0.5601,0.7491)
P114: 0  (0,2.2304),(191.4000,72.8110,-20.5511),(-0.3506,0.5697,0.7488)
P115: 0  (0,2.2398),(189.4000,71.8171,-20.7211),(-0.3447,0.5737,0.7386)
P116: 0  (0,2.2363),(187.4000,70.8295,-20.8811),(-0.3446,0.5801,0.7408)
P117: 0  (0,2.2363),(185.4000,69.8389,-21.0211),(-0.3405,0.5896,0.7367)
P118: 0  (0,2.2345),(183.4000,68.8510,-21.1511),(-0.3407,0.5937,0.7290)
P119: 0  (0,2.2393),(181.4000,67.8498,-21.2611),(-0.3329,0.6000,0.7267)
P120: 0  (0,2.2355),(179.4000,66.8560,-21.3611),(-0.3329,0.6096,0.7190)
P121: 0  (0,2.2303),(177.4000,65.8730,-21.4511),(-0.3350,0.6136,0.7167)
P122: 0  (0,2.2380),(175.4000,64.8712,-21.5211),(-0.3349,0.6200,0.7091)
P123: 0  (0,2.2326),(173.4000,63.8808,-21.5811),(-0.3345,0.6296,0.7064)
P124: 0  (0,2.2313),(171.4000,62.8929,-21.6311),(-0.3305,0.6335,0.6991)
P125: 0  (0,2.2331),(169.4000,61.9003,-21.6711),(-0.3305,0.6400,0.6964)
P126: 0  (0,2.2339),(167.4000,60.9054,-21.6911),(-0.3307,0.6496,0.6908)
P127: 0  (0,2.2390),(165.4000,59.8990,-21.7011),(-0.3228,0.6496,0.6786)
P128: 0  (0,2.2313),(163.4000,58.9097,-21.7011),(-0.3266,0.6601,0.6793)
P129: 0  (0,2.2372),(161.4000,57.9075,-21.6811),(-0.3265,0.6711,0.6693)
P130: 0  (0,2.2354),(159.4000,56.9091,-21.6611),(-0.3261,0.6700,0.6645)
P131: 0  (0,2.2347),(157.4000,55.9131,-21.6211),(-0.3261,0.6797,0.6593)
P132: 0  (0,2.2373),(155.4000,54.9115,-21.5711),(-0.3260,0.6857,0.6546)
P133: 0  (0,2.2388),(153.4000,53.9073,-21.5111),(-0.3260,0.6900,0.6447)
P134: 0  (0,2.2376),(151.4000,52.9064,-21.4411),(-0.3259,0.6997,0.6392)
P135: 0  (0,2.2359),(149.4000,51.9099,-21.3611),(-0.3259,0.7000,0.6348)
P136: 0  (0,2.2410),(147.4000,50.9030,-21.2711),(-0.3258,0.7100,0.6248)
P137: 0  (0,2.2363),(145.4000,49.9074,-21.1711),(-0.3262,0.7212,0.6192)
P138: 0  (0,2.2412),(143.4000,48.9020,-21.0611),(-0.3262,0.7200,0.6092)
P139: 0  (0,2.2403),(141.4000,47.8999,-20.9411),(-0.3261,0.7300,0.6050)
P140: 0  (0,2.2401),(139.4000,46.8992,-20.8111),(-0.3246,0.7300,0.5950)
P141: 0  (0,2.2450),(137.4000,45.8890,-20.6711),(-0.3305,0.7400,0.5851)
P142: 0  (0,2.2371),(135.4000,44.8965,-20.5311),(-0.3305,0.7501,0.5792)
P143: 0  (0,2.2466),(133.4000,43.8857,-20.3711),(-0.3362,0.7500,0.5692)
P144: 0  (0,2.2450),(131.4000,42.8786,-20.2111),(-0.3357,0.7600,0.5592)
P145: 0  (0,2.2418),(129.4000,41.8801,-20.0411),(-0.3381,0.7600,0.5499)
P146: 0  (0,2.2464),(127.4000,40.8733,-19.8611),(-0.3381,0.7700,0.5425)
P147: 0  (0,2.2455),(125.4000,39.8702,-19.6711),(-0.3382,0.7800,0.5325)
P148: 0  (0,2.2436),(123.4000,38.8714,-19.4811),(-0.3382,0.7800,0.5224)
P149: 0  (0,2.2557),(121.4000,37.8495,-19.2711),(-0.3482,0.7900,0.5099)
P150: 0  (0,2.2431),(119.4000,36.8538,-19.0711),(-0.3483,0.7894,0.4998)
P151: 0  (0,2.2530),(117.4000,35.8402,-18.8511),(-0.3483,0.8000,0.4897)
