P85: 0  (0,2.2510),(2.0000,1.0234,-0.1400),(-0.3339,0.7300,0.5874)
P86: 0  (0,2.2473),(2.0000,1.0167,-0.1300),(-0.3327,0.7300,0.5974)
P87: 0  (0,2.2461),(2.0000,1.0152,-0.1200),(-0.3327,0.7200,0.6097)
P88: 0  (0,2.2451),(2.0000,1.0141,-0.1100),(-0.3326,0.7191,0.6197)
P89: 0  (0,2.2462),(2.0000,1.0175,-0.1000),(-0.3331,0.7100,0.6173)
P90: 0  (0,2.2437),(2.0000,1.0131,-0.0900),(-0.3330,0.7000,0.6274)
P91: 0  (0,2.2461),(2.0000,1.0191,-0.0800),(-0.3331,0.7003,0.6396)
P92: 0  (0,2.2442),(2.0000,1.0157,-0.0700),(-0.3331,0.6900,0.6373)
P93: 0  (0,2.2429),(2.0000,1.0133,-0.0600),(-0.3331,0.6924,0.6473)
P94: 0  (0,2.2438),(2.0000,1.0160,-0.0500),(-0.3332,0.6803,0.6596)
P95: 0  (0,2.2388),(2.0000,1.0053,-0.0400),(-0.3332,0.6700,0.6573)
P96: 0  (0,2.2445),(2.0000,1.0185,-0.0200),(-0.3328,0.6690,0.6696)
P97: 0  (0,2.2437),(2.0000,1.0167,-0.0200),(-0.3329,0.6599,0.6796)
P98: 0  (0,2.2416),(2.0000,1.0122,0.0000),(-0.3328,0.6508,0.6807)
P99: 0  (0,2.2413),(2.0000,1.0116,0.0100),(-0.3303,0.6502,0.6890)
P100: 0  (0,2.2375),(2.0000,1.0030,0.0200),(-0.3303,0.6400,0.6883)
P101: 0  (0,2.2431),(2.0000,1.0149,0.0400),(-0.3303,0.6418,0.6998)
P102: 0  (0,2.2389),(2.0000,1.0050,0.0500),(-0.3413,0.6302,0.6983)
P103: 0  (0,2.2441),(2.0000,1.0161,0.0600),(-0.3411,0.6200,0.7098)
P104: 0  (0,2.2438),(2.0000,1.0147,0.0700),(-0.3411,0.6219,0.7080)
P105: 0  (0,2.2345),(2.0000,0.9925,0.0900),(-0.3427,0.6102,0.7199)
P106: 0  (0,2.2460),(2.0000,1.0170,0.1000),(-0.3429,0.6000,0.7179)
P107: 0  (0,2.2444),(2.0000,1.0126,0.1100),(-0.3403,0.6018,0.7299)
P108: 0  (0,2.2422),(2.0000,1.0054,0.1300),(-0.3404,0.5902,0.7280)
P109: 0  (0,2.2419),(2.0000,1.0033,0.1400),(-0.3513,0.5799,0.7389)
P110: 0  (0,2.2442),(2.0000,1.0055,0.1600),(-0.3520,0.5818,0.7408)
P111: 0  (0,2.2510),(2.0000,1.0188,0.1700),(-0.3501,0.5701,0.7388)
P112: 0  (0,2.2399),(2.0000,0.9904,0.1900),(-0.3501,0.5600,0.7500)
P113: 0  (0,1.3367),(-0.0000,-1.0709,0.8000),(-0.3505,0.5601,0.7491)
P114: 0  (0,2.2304),(-2.0000,-0.9687,-0.1900),(-0.3506,0.5697,0.7488)
P115: 0  (0,2.2398),(-2.0000,-0.9939,-0.1700),(-0.3447,0.5737,0.7386)
P116: 0  (0,2.2363),(-2.0000,-0.9877,-0.1600),(-0.3446,0.5801,0.7408)
P117: 0  (0,2.2363),(-2.0000,-0.9906,-0.1400),(-0.3405,0.5896,0.7367)
P118: 0  (0,2.2345),(-2.0000,-0.9879,-0.1300),(-0.3407,0.5937,0.7290)
P119: 0  (0,2.2393),(-2.0000,-1.0013,-0.1100),(-0.3329,0.6000,0.7267)
P120: 0  (0,2.2355),(-2.0000,-0.9938,-0.1000),(-0.3329,0.6096,0.7190)
P121: 0  (0,2.2303),(-2.0000,-0.9830,-0.0900),(-0.3350,0.6136,0.7167)
P122: 0  (0,2.2380),(-2.0000,-1.0018,-0.0700),(-0.3349,0.6200,0.7091)
P123: 0  (0,2.2326),(-2.0000,-0.9903,-0.0600),(-0.3345,0.6296,0.7064)
P124: 0  (0,2.2313),(-2.0000,-0.9879,-0.0500),(-0.3305,0.6335,0.6991)
P125: 0  (0,2.2331),(-2.0000,-0.9926,-0.0400),(-0.3305,0.6400,0.6964)
P126: 0  (0,2.2339),(-2.0000,-0.9949,-0.0200),(-0.3307,0.6496,0.6908)
P127: 0  (0,2.2390),(-2.0000,-1.0064,-0.0100),(-0.3228,0.6496,0.6786)
P128: 0  (0,2.2313),(-2.0000,-0.9892,0.0000),(-0.3266,0.6601,0.6793)
P129: 0  (0,2.2372),(-2.0000,-1.0023,0.0200),(-0.3265,0.6711,0.6693)
P130: 0  (0,2.2354),(-2.0000,-0.9983,0.0200),(-0.3261,0.6700,0.6645)
P131: 0  (0,2.2347),(-2.0000,-0.9960,0.0400),(-0.3261,0.6797,0.6593)
P132: 0  (0,2.2373),(-2.0000,-1.0016,0.0500),(-0.3260,0.6857,0.6546)
P133: 0  (0,2.2388),(-2.0000,-1.0042,0.0600),(-0.3260,0.6900,0.6447)
P134: 0  (0,2.2376),(-2.0000,-1.0009,0.0700),(-0.3259,0.6997,0.6392)
P135: 0  (0,2.2359),(-2.0000,-0.9965,0.0800),(-0.3259,0.7000,0.6348)
P136: 0  (0,2.2410),(-2.0000,-1.0069,0.0900),(-0.3258,0.7100,0.6248)
P137: 0  (0,2.2363),(-2.0000,-0.9956,0.1000),(-0.3262,0.7212,0.6192)
P138: 0  (0,2.2412),(-2.0000,-1.0053,0.1100),(-0.3262,0.7200,0.6092)
P139: 0  (0,2.2403),(-2.0000,-1.0022,0.1200),(-0.3261,0.7300,0.6050)
P140: 0  (0,2.2401),(-2.0000,-1.0006,0.1300),(-0.3246,0.7300,0.5950)
P141: 0  (0,2.2450),(-2.0000,-1.0102,0.1400),(-0.3305,0.7400,0.5851)
P142: 0  (0,2.2371),(-2.0000,-0.9925,0.1400),(-0.3305,0.7501,0.5792)
P143: 0  (0,2.2466),(-2.0000,-1.0107,0.1600),(-0.3362,0.7500,0.5692)
P144: 0  (0,2.2450),(-2.0000,-1.0071,0.1600),(-0.3357,0.7600,0.5592)
P145: 0  (0,2.2418),(-2.0000,-0.9985,0.1700),(-0.3381,0.7600,0.5499)
P146: 0  (0,2.2464),(-2.0000,-1.0068,0.1800),(-0.3381,0.7700,0.5425)
P147: 0  (0,2.2455),(-2.0000,-1.0031,0.1900),(-0.3382,0.7800,0.5325)
P148: 0  (0,2.2436),(-2.0000,-0.9988,0.1900),(-0.3382,0.7800,0.5224)
P149: 0  (0,2.2557),(-2.0000,-1.0219,0.2100),(-0.3482,0.7900,0.5099)
